Age,Occupation,Risk Tolerance,Investment Duration,Financial Goals,Investment Amount,Liquidity Needs,Investment Recommendation,Annual Income
33,IT Professional,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,561663
19,IT Professional,Low,Mid-term,Marriage,185871,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,913870
25,IT Professional,Medium,Long-term,Retirement,317410,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,871306
29,Retail Worker,High,Mid-term,Marriage,336901,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1136853
61,Lawyer,Low,Long-term,Retirement,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,763161
26,Retail Worker,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,572355
28,Lawyer,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,506627
64,Teacher,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1291836
51,Artist,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1188675
30,Business Owner,Low,Long-term,Wealth Building,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,944061
58,Retail Worker,High,Mid-term,Marriage,422849,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,840526
35,Student,High,Long-term,Wealth Building,80000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,92898
63,Banker,High,Mid-term,Marriage,493660,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,433379
20,Doctor,High,Long-term,Wealth Building,360679,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,334039
18,Artist,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1018949
25,Banker,Medium,Long-term,Wealth Building,419662,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,705344
38,Student,High,Long-term,Retirement,80000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,73493
56,Student,Low,Long-term,Retirement,80000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,65045
42,Artist,Medium,Mid-term,Marriage,188295,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,824738
51,Self-Employed,High,Long-term,Retirement,450387,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,588312
42,Self-Employed,Medium,Short-term,Emergency Fund,272913,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,542835
37,Teacher,High,Short-term,Emergency Fund,377952,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,300360
46,IT Professional,High,Mid-term,Marriage,210566,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1128604
24,Lawyer,Medium,Mid-term,Education,388340,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,867201
63,Government Employee,Medium,Long-term,Retirement,132689,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,654996
46,Business Owner,Medium,Mid-term,Education,42199,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,681646
43,Self-Employed,Medium,Mid-term,Marriage,198410,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1001248
39,Freelancer,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,689398
37,Doctor,Low,Long-term,Retirement,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,673673
49,Freelancer,Low,Mid-term,Education,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,801023
23,Artist,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,649262
40,Business Owner,Low,Mid-term,Marriage,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,539366
60,Engineer,Low,Long-term,Wealth Building,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,980159
32,IT Professional,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,574540
51,Service Industry,Medium,Mid-term,Education,321753,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,986860
27,IT Professional,Medium,Mid-term,Marriage,169662,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,667810
49,Government Employee,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,877693
56,Self-Employed,Medium,Long-term,Wealth Building,351137,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,445556
23,Doctor,High,Long-term,Wealth Building,436220,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,451710
50,Freelancer,Low,Long-term,Wealth Building,416273,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1207598
22,Freelancer,Medium,Mid-term,Marriage,394488,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,344417
41,Consultant,Medium,Mid-term,Education,377205,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1205142
54,Teacher,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,617881
50,Consultant,Medium,Short-term,Emergency Fund,258332,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,698840
55,Teacher,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1087147
36,Service Industry,Medium,Short-term,Emergency Fund,334601,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,445866
32,Teacher,Low,Long-term,Wealth Building,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,813008
39,IT Professional,Low,Long-term,Retirement,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,527788
25,Service Industry,Low,Short-term,Emergency Fund,311230,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,927906
39,Business Owner,Medium,Mid-term,Marriage,132746,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,424390
32,Lawyer,Medium,Mid-term,Education,295655,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,981495
33,Banker,Medium,Mid-term,Marriage,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1114670
63,Service Industry,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1220993
27,Student,Low,Mid-term,Marriage,80000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,53820
32,Business Owner,Low,Mid-term,Marriage,448922,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,811301
22,Lawyer,High,Short-term,Emergency Fund,339952,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,588976
38,Government Employee,High,Long-term,Retirement,334939,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,518270
55,Engineer,Medium,Short-term,Emergency Fund,171756,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,683845
47,Government Employee,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1229164
38,Teacher,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,813125
36,Teacher,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,649927
45,Self-Employed,Medium,Long-term,Retirement,75880,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,745646
22,Teacher,Low,Long-term,Wealth Building,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,991953
24,Service Industry,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1136444
29,Doctor,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,587696
63,IT Professional,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,710870
58,Lawyer,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,848558
19,Engineer,Medium,Long-term,Wealth Building,204245,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,687110
30,Retail Worker,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1214671
50,Student,High,Long-term,Retirement,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,70084
62,Freelancer,High,Long-term,Retirement,452414,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,315435
18,Government Employee,Medium,Mid-term,Education,301606,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,738922
24,Service Industry,Low,Long-term,Wealth Building,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1189918
45,Government Employee,Low,Mid-term,Education,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,375219
60,Artist,High,Short-term,Emergency Fund,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,770004
40,Retail Worker,Medium,Long-term,Retirement,160397,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1054943
59,Lawyer,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,736271
44,Engineer,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,577565
62,IT Professional,High,Mid-term,Marriage,139835,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,401158
63,Student,Medium,Mid-term,Marriage,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,51346
28,Business Owner,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,343624
57,IT Professional,Medium,Mid-term,Education,156989,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,658986
54,Business Owner,Low,Mid-term,Marriage,43749,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,474188
30,Teacher,Medium,Mid-term,Marriage,365744,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,868336
58,Student,High,Mid-term,Education,80000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,75505
18,Business Owner,Low,Long-term,Retirement,279379,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,767677
35,Artist,High,Mid-term,Marriage,255854,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,342764
26,Self-Employed,Medium,Mid-term,Education,152634,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,363388
43,Teacher,Medium,Short-term,Emergency Fund,63788,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1097469
49,IT Professional,High,Long-term,Wealth Building,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,520387
62,Engineer,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1295488
54,Lawyer,Medium,Long-term,Retirement,235492,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1088273
43,Government Employee,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,913190
53,Freelancer,Low,Mid-term,Education,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1042211
51,IT Professional,Low,Short-term,Emergency Fund,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,698024
19,Business Owner,Low,Long-term,Wealth Building,481566,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,499088
49,Business Owner,Low,Mid-term,Marriage,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1001263
20,Consultant,Medium,Long-term,Retirement,76398,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,504495
36,IT Professional,High,Long-term,Retirement,384019,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,939691
37,Retail Worker,Low,Short-term,Emergency Fund,83592,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1177377
56,IT Professional,Low,Long-term,Wealth Building,288130,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,564494
28,Freelancer,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1227264
30,Business Owner,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1069110
55,Student,Medium,Mid-term,Marriage,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,76721
26,Lawyer,High,Short-term,Emergency Fund,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1057580
33,Teacher,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,546171
49,Self-Employed,Low,Long-term,Wealth Building,258888,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,464676
48,Banker,Medium,Short-term,Emergency Fund,287597,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,360042
42,Engineer,Low,Long-term,Retirement,207279,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,411082
26,Freelancer,Low,Long-term,Wealth Building,385821,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,771548
48,Service Industry,Medium,Long-term,Retirement,234145,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,493239
41,Business Owner,High,Mid-term,Marriage,310244,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,974798
58,Retail Worker,Medium,Long-term,Retirement,25829,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1188762
60,Doctor,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,348590
18,Student,Medium,Short-term,Emergency Fund,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,91810
60,Freelancer,Medium,Short-term,Emergency Fund,234239,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1175468
63,Artist,Low,Long-term,Retirement,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1245559
58,Freelancer,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,569030
41,Artist,High,Short-term,Emergency Fund,173923,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1080754
22,IT Professional,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,350142
38,Student,High,Short-term,Emergency Fund,80000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,96523
47,Artist,Low,Mid-term,Marriage,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,984430
25,Business Owner,High,Short-term,Emergency Fund,62611,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,832416
32,Business Owner,High,Mid-term,Education,44859,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,518290
28,Doctor,Low,Short-term,Emergency Fund,317581,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,627533
46,Self-Employed,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,430115
64,Engineer,High,Mid-term,Education,31314,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1102160
20,Artist,Medium,Mid-term,Marriage,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,654023
58,Consultant,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,366334
18,IT Professional,Medium,Mid-term,Marriage,73450,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,674038
23,Consultant,Low,Long-term,Retirement,260012,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,957958
25,Teacher,Low,Short-term,Emergency Fund,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1290749
54,Freelancer,Medium,Short-term,Emergency Fund,202527,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1251541
48,Government Employee,High,Short-term,Emergency Fund,466203,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,877534
58,Service Industry,Low,Short-term,Emergency Fund,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,659063
48,Self-Employed,High,Short-term,Emergency Fund,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,312254
60,Self-Employed,Medium,Mid-term,Marriage,91160,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,833934
36,Self-Employed,Low,Mid-term,Education,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,678377
46,Doctor,Low,Long-term,Retirement,36608,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,640937
40,Freelancer,High,Mid-term,Marriage,264800,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1060087
26,Student,Medium,Long-term,Wealth Building,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,68421
54,Lawyer,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,303059
27,Banker,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,355359
38,Service Industry,Medium,Long-term,Wealth Building,32337,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1118999
45,Student,High,Short-term,Emergency Fund,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,98097
44,Retail Worker,Medium,Mid-term,Marriage,204725,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,527342
60,Lawyer,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,301976
48,IT Professional,Low,Long-term,Retirement,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,878012
53,Lawyer,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1016093
36,Engineer,Low,Mid-term,Education,38729,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,949539
56,Doctor,High,Long-term,Retirement,107717,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1123126
25,Retail Worker,Medium,Mid-term,Education,188656,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1174440
29,Artist,Low,Long-term,Retirement,323166,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,559885
22,Student,Medium,Long-term,Wealth Building,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,72418
28,Teacher,High,Mid-term,Education,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,977237
40,Doctor,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1164711
32,Doctor,Medium,Long-term,Retirement,416734,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,455780
40,Doctor,Medium,Mid-term,Marriage,401518,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,807011
